Device Time, 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(kpa),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),DPF Pressure(bar),DPF Temperature(°C),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Exhaust Pressure(bar),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel pressure(kpa),Fuel Rail Pressure(kpa),Fuel Rail Pressure (relative to manifold vacuum)(kpa),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Intake Air Temperature(°C),Intake Manifold Pressure(kpa),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor1 wide-range Voltage,O2 Sensor2 Equivalence Ratio,O2 Sensor2 wide-range Voltage,O2 Sensor3 Equivalence Ratio,O2 Sensor3 wide-range Voltage,O2 Sensor4 Equivalence Ratio,O2 Sensor4 wide-range Voltage,O2 Sensor5 Equivalence Ratio,O2 Sensor5 wide-range Voltage,O2 Sensor6 Equivalence Ratio,O2 Sensor6 wide-range Voltage,O2 Sensor7 Equivalence Ratio,O2 Sensor7 wide-range Voltage,O2 Sensor8 Equivalence Ratio,O2 Sensor8 wide-range Voltage,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(bar),Turbo Pressure Control(bar),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
24-Apr-2019 07:47:25.834,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00228526,0.95819902,-0.19691147,0.11672614,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.93600082,-,-,-,-,0,-,-,-,-,-,-,17.12021065,-,5.84099865,-,-,40.26958084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,292.13885498,0,0,0,-,-,-,-,-
24-Apr-2019 07:47:26.127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00027129,0.95555478,-0.1986209,0.11754118,-,-,-,-,-,-,-,75,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.93600082,-,-,-,-,0,0,-,-,-,-,-,17.12021065,-,5.84099865,-,-,40.26958084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,292.13885498,0,0,0,-,-,-,-,-
24-Apr-2019 07:47:26.408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00166735,0.95685667,-0.1965055,0.12014342,-,-,-,-,-,-,-,75,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.93600082,-,-,-,-,0,0,-,-,-,-,-,17.12021065,-,5.84099865,-,-,40.26958084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,292.13885498,0,0,0,-,-,-,-,-
24-Apr-2019 07:47:26.695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00187587,0.95758927,-0.19662839,0.11778383,-,-,-,-,-,-,-,75,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.93600082,-,-,-,-,0,0,-,-,-,-,-,17.12021065,-,5.84099865,-,-,40.26958084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,292.13885498,0,0,0,-,-,-,-,-
24-Apr-2019 07:47:29.250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00410887,0.95889121,-0.19638263,0.12250301,-,-,-,-,-,-,-,75,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,37.25490189,-,-,-,1378.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,-,-,-,-,17.15200043,27.53997803,0,57.02949524,24.10507393,5,0,-,-,13,38,-,17.12021065,-,5.84099865,-,-,40.26958084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.74000001,0.45999998,-,-,-,-,-,-,-,-,-,-,-,-,0,0,7.45098066,2,-,-,-,-,-,-,-,292.13885498,0,0,0,-0.63352937,-,-,-,-
24-Apr-2019 07:47:31.776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00582244,0.9599489,-0.15102935,0.15821728,-,-,-,-,-,-,-,75,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,39.2156868,-,-,-,1386.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,-,-,-,-,-,-,-,13.93600082,27.36297607,0,57.02949524,24.10507584,6,0,-,-,13,41,0,14.25539684,-,7.01474142,-,0,40.26948166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.75999999,0.44,-,-,-,-,-,-,-,-,-,-,-,-,0,0,7.84313726,16,-,-,-,-,-,-,-,292.13885498,0,0,0,-0.60352927,-,-,-,-
24-Apr-2019 07:47:34.301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05433346,1.05122626,0.00170942,-0.02397203,-,-,-,-,-,-,-,75,3,0.5,-,-,-,-,-,-,-,-,-,-,-,-,1449.89953613,-,-,-,-,-,-,-,16,-,62.35294342,-,-,-,843.75,-,-,-,-,-,-,-,-,-,-,-,0.00054478,-,-,-,-,-,-,-,41.33563995,-,0,0,-,-,0,-,-,-,-,-,-,0.00245504,11.79199982,27.45367432,0,57.02953339,24.10508728,9,3,-,-,13,61,0,14.2553606,-,7.01475906,-,0,40.26937866,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.74000001,0.45999998,-,-,-,-,-,-,0,0,100,-,-,-,0,3,9.8039217,20,-,-,-,-,-,-,-,292.13885498,1,1.222,0,-0.40352929,-,-,-,-
24-Apr-2019 07:47:36.403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.03762733,0.9270826,-0.2004112,0.06087834,-,-,-,-,-,-,-,75,7,2,-,-,-,-,-,-,-,-,-,-,-,-,1449.87011719,-,-,-,-,-,-,-,17,2.68782735,92.94117737,-,-,-,1769.5,-,-,-,-,-,-,-,-,-,-,-,0.00094389,2.93902993,48.98383331,-,-,-,-,-,41.33491135,-,0,0,-,-,0,-,-,-,-,-,-,0.00425356,10.72000027,27.18688965,0,57.02952957,24.10507584,10,11,3.60443592,-,13,85,1.02072728,14.25466347,97.96733093,7.01510239,-,2.88341022,40.26741028,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.74000001,0.45999998,-,-,-,-,-,-,37.11180115,0,62.88819885,-,-,-,0,11,37.64706039,17,14.50483608,-,-,1.02072728,97.96733093,2.88341022,0.00392972,292.14279175,3,3.22099996,0,-0.16352929,-,-,-,-
24-Apr-2019 07:47:38.539,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02973049,1.00261748,-0.221156,-0.02604698,-,-,-,-,-,-,-,75,14,5.25,-,-,-,-,-,-,-,-,0.15970881,0.54625994,-,-,1449.77416992,-,-,-,-,-,-,-,17,13.55916691,97.64706421,-,-,-,2144.5,-,-,-,-,-,-,-,-,-,-,-,0.00133386,2.97307396,49.5512352,-,-,-,-,-,41.33419418,-,0,0,-,-,0,-,-,-,-,-,-,0.00601098,9.64800072,26.83666992,44.29999924,57.02968597,24.10523796,11,7.26399994,18.18314171,-,13,41,3.69981003,14.25410652,27.02785301,7.01537609,-,10.45144081,40.26583862,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.71999997,0.45999998,-,-,-,-,-,-,61.12497711,0,38.87502289,-,-,-,27.46800041,28,85.88235474,15,60.37664413,-,-,2.36026859,42.36717987,6.66742516,0.01565681,292.1545105,5,5.21000004,0,-0.60352927,-,-,-,-
24-Apr-2019 07:47:40.637,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13628104,0.95441622,-0.61404723,-0.05216113,-,-,-,-,-,-,-,75,20.25,9,-,-,-,-,-,-,-,-,0.03137134,0.1606039,166.03253174,166.03253174,1449.70288086,-,-,-,-,-,-,-,18,12.70095158,19.6078434,-,-,-,2355.25,-,-,-,-,-,-,-,-,-,-,-,0.00156246,1.75762951,29.29382515,-,-,-,-,-,41.33377838,-,0,0,-,-,0,-,-,-,-,-,-,0.00704115,9.64800072,30.35308838,43.5,57.02983093,24.10554314,11,9.58800125,17.03225708,-,13,20,15.9302702,14.25419521,6.27722692,7.0153327,-,45.00076294,40.26608658,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.75999999,0.47999999,-,-,-,-,-,-,71.9606781,0,28.03932381,-,-,-,35.92799759,39,6.27450991,25,51.49455643,-,-,6.88360262,14.52697468,19.44520378,0.03504028,292.17388916,7,7.22300005,0,-0.81352931,-,-,-,-
