Device Time, 0-100kph Time(s),0-100mph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),100-200kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Ambient air temp(°C),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(kpa),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Charge air cooler temperature (CACT)(°C),Commanded Equivalence Ratio(lambda),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),DPF Pressure(bar),DPF Temperature(°C),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Ethanol Fuel %(%),Evap System Vapour Pressure(Pa),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Exhaust Pressure(bar),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel pressure(kpa),Fuel Rail Pressure(kpa),Fuel Rail Pressure (relative to manifold vacuum)(kpa),Fuel Rate (direct from ECU)(L/m),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Hybrid Battery Charge (%)(%),Intake Air Temperature(°C),Intake Manifold Pressure(kpa),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor1 wide-range Voltage,O2 Sensor2 Equivalence Ratio,O2 Sensor2 wide-range Voltage,O2 Sensor3 Equivalence Ratio,O2 Sensor3 wide-range Voltage,O2 Sensor4 Equivalence Ratio,O2 Sensor4 wide-range Voltage,O2 Sensor5 Equivalence Ratio,O2 Sensor5 wide-range Voltage,O2 Sensor6 Equivalence Ratio,O2 Sensor6 wide-range Voltage,O2 Sensor7 Equivalence Ratio,O2 Sensor7 wide-range Voltage,O2 Sensor8 Equivalence Ratio,O2 Sensor8 wide-range Voltage,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(bar),Turbo Pressure Control(bar),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
23-Apr-2019 17:20:38.244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13131413,0.05738455,0.41786838,0.94932866,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,24.91467285,37.20000076,56.97146606,24.12111473,13,-,-,-,-,-,-,17.16160202,-,5.8269105,-,-,40.36694336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,60.65999985,59,-,-,-,-,-,-,-,-,-,283.9296875,0,0.038,0,-,-,-,-,-
23-Apr-2019 17:20:38.528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02458669,0.03419929,0.45215788,0.8183924,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,24.91467285,37.20000076,56.97146606,24.12111473,13,-,-,-,25,-,-,17.16160202,-,5.8269105,-,-,40.36694336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,60.65999985,59,-,-,-,-,-,-,-,-,-,283.9296875,0,0.51499999,0,-,-,-,-,-
23-Apr-2019 17:20:38.786,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13113305,0.02736472,0.40651995,0.66707689,-,-,-,-,-,-,-,85,61,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,24.91467285,37.20000076,56.97146606,24.12111473,13,0.34000015,-,-,25,-,-,17.16160202,-,5.8269105,-,-,40.36694336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,60.65999985,61,-,-,-,-,-,-,-,-,0.00975,283.93945312,0,0.62400001,0,-,-,-,-,-
23-Apr-2019 17:20:39.061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.10922128,-0.01668667,0.51109785,0.62900299,-,-,-,-,-,-,-,85,61.5,61.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.21600008,25.15979004,39.79999924,56.97159195,24.12129784,13,1.34000015,-,-,25,-,-,17.16160202,-,5.8269105,-,-,40.36694336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,0,0,-,-,-,60.98400116,62,-,-,-,-,-,-,-,-,0.01443083,283.94412231,1,1.00300002,0,-,-,-,-,-
23-Apr-2019 17:20:41.705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.15574247,0.00625439,0.42226091,0.63071245,-,-,-,-,-,-,-,85,62,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,6.36479092,65.88235474,-,-,-,2394.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5625,0.78125,-,-,1.5625,-,-,-,-,-,-,-,3.21600008,24.86218262,42.70000076,56.97183228,24.1217041,12,2.01599884,8.53532505,-,25,76,-,17.16160202,-,5.8269105,-,-,40.36694336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.79999995,0.45999998,-,-,-,-,-,-,100,0,0,-,-,-,65.77200317,63,19.6078434,25,25.3823204,-,-,-,-,-,0.03085444,283.96054077,3,3.0150001,0,-0.25352931,-,-,-,-
23-Apr-2019 17:20:44.184,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-0.56584799,-0.04084876,0.19297001,0.28659177,-,-,-,-,-,-,-,85,63.75,63.75,-,-,-,-,-,-,-,-,-,-,288.63653564,288.63653564,-,-,-,-,-,-,-,-,64,6.36479092,67.05882263,-,-,-,2593.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.78125,-1.5625,-,-,0,-,-,-,-,-,-,-,3.21600008,25.98706055,47.70000076,56.97219086,24.12240601,14,1.35599518,8.53532505,-,24,73,9.16357803,14.28961563,10.91254139,6.9979434,-,25.88581276,40.36614609,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63999999,0.45999998,-,-,-,-,-,-,100,0,0,-,-,-,70.81199646,69,16.07843208,27,25.3823204,-,-,9.16357803,10.91254139,25.88581276,0.08207778,284.01177979,6,6.00699997,0,-0.28352928,-,-,-,-
23-Apr-2019 17:20:46.744,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.10998783,0.03968996,0.65374964,0.79569399,-,-,-,-,-,-,-,85,65.40000153,65.40000153,-,-,-,-,-,-,-,-,-,-,277.72296143,266.80941772,1463.69995117,-,-,-,-,-,-,-,65,6.36479092,52.54901886,-,-,-,2722.5,-,-,-,-,-,-,-,-,-,-,-,0.00106615,-,-,-,-,-,-,-,41.62915421,-,-0.78125,-1.5625,-,-,-1.5625,-,-,-,-,-,-,0.00480452,4.28800011,26.52337646,52.40000153,56.97245026,24.12296486,13,0.21599579,8.53532505,-,25,68,9.9132309,14.28937435,10.08731937,6.99806118,-,28.00347519,40.36546326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.63999999,0.45999998,-,-,-,-,-,-,100,0,0,-,-,-,72.14400482,72,12.94117641,33,-,-,-,9.53840446,10.48371601,26.94464493,0.13281819,284.06253052,8,8.10499954,0,-0.33352932,-,-,-,-
23-Apr-2019 17:20:48.779,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.02115334,-0.92921823,-0.2536552,-0.43801561,-,-,-,-,-,-,-,85,66.66666412,66.66666412,-,-,-,-,-,-,-,-,-,0.02251898,254.64215088,208.48048401,1463.62414551,-,-,-,-,-,-,-,66,2.2712636,51.37255096,-,-,-,2730.25,-,-,-,-,-,-,-,-,-,-,-,0.00185847,5.67510653,94.5851059,-,-,-,-,-,41.62770462,-,0,-0.78125,-,-,-0.78125,-,-,-,-,-,-,0.00837511,4.28800011,25.92480469,50.79999924,56.9726944,24.12345695,13,0.4960022,3.04581451,-,25,53,12.68676662,14.28928566,7.88206482,6.99810457,-,35.8383255,40.3652153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.81999999,0.5,-,-,-,-,-,-,100,0,0,-,-,-,74.12400055,73,10.58823586,34,7.94377899,-,-,10.5878582,9.44458389,29.90920448,0.1727536,284.10244751,10,10.06000042,0,-0.4835293,-,-,-,-
23-Apr-2019 17:20:50.916,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.29046783,-1.21073747,-0.38288361,0.12734352,-,-,-,-,-,-,-,85,67.7142868,67.7142868,-,-,-,-,-,-,-,-,0.02515356,0.02312802,235.72528076,178.97465515,1463.57495117,-,-,-,-,-,-,-,67,2.23369932,46.27450943,-,-,-,2726.5,-,-,-,-,-,-,-,-,-,-,-,0.00248265,4.93958521,82.32641602,-,-,-,-,-,41.62656021,-,-1.5625,-0.78125,-,-,0.78125,-,-,-,-,-,-,0.01118793,6.43200016,25.13482666,47.20000076,56.97293854,24.12397003,5,0.41199493,2.99544001,-,26,46,14.77831173,14.28931332,6.76653194,6.9980917,-,41.74664307,40.3652916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.19999999,0.47999999,-,-,-,-,-,-,100,0,0,-,-,-,75.41999817,74,11.76470566,35,7.82314205,-,-,11.63547134,8.5942297,32.86856461,0.21448527,284.14419556,12,12.04800034,0,-0.55352932,-,-,-,-
23-Apr-2019 17:20:53.041,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0.112932,-1.04465616,-0.25951296,0.18127967,-,-,-,-,-,-,-,85,68.375,68.375,-,-,-,-,-,-,-,-,0.00921664,0.02042133,201.56852722,64.94155121,1463.56237793,-,-,-,-,-,-,-,68,2.23369932,14.90196133,-,-,-,2460.75,-,-,-,-,-,-,-,-,-,-,-,0.00272165,1.81689775,30.28162766,-,-,-,-,-,41.62612152,-,-1.5625,-1.5625,-,-,0,-,-,-,-,-,-,0.01226495,7.50400019,39.65386963,51.5,56.97322845,24.12471581,13,0.18799591,2.99544001,-,26,17,40.72805786,14.28939152,2.45525861,6.99805307,-,115.05101013,40.36551285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.51999998,0.45999998,-,-,-,-,-,-,100,0,0,-,-,-,69.37200165,73,4.31372547,21,7.82314205,-,-,12.45202637,8.03065491,35.17521667,0.25856486,284.18826294,15,15.01900005,0,-0.84352928,-,-,-,-
